   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
   13    1    1    1   12 4.75 5.05    1    0     0     0     0
    2    1    1    1   12 4.58 5.60    0    1     0     0     0
    1    1    1    1   12 4.53 5.38    0    0     0     1     0
   16    1    0    1   12 4.61 5.17    0    0     0     0     0
   17    1    0    1   11 4.87 5.10    1    0     0     0     0
   24    1    1    0   12 4.61 5.31    0    0     0     0     0
    6    1    0    1   17 5.00 6.04    0    0     1     0     0
    8    1    1    0   12 4.87 5.15    0    1     0     0     0
   12    0    0    0   12 4.00 4.04    1    0     0     0     0
    5    1    1    1   12 4.49 4.89    0    1     0     0     0
   10    0    1    1   14 4.88 5.56    0    0     0     0     0
    3    1    1    1    8 4.70 5.18    0    0     1     0     0
   26    1    1    1   12 4.52 4.76    0    1     0     0     0
    3    1    1    1   12 4.87 5.37    0    0     0     0     0
   13    1    1    0   12 4.58 5.42    0    1     0     0     0
    1    1    0    1   12 4.61 4.82    0    0     1     0     0
   25    1    1    0   10 4.25 4.77    0    0     1     0     0
    5    1    1    1   10 5.08 5.42    0    0     0     1     0
   15    0    0    1   13 4.90 5.06    1    0     0     0     0
    3    1    1    0   12 4.29 4.73    0    1     0     0     0
    7    1    1    1    7 4.36 4.60    0    0     1     0     0
   12    1    1    0    4 4.61 5.27    0    0     1     0     0
   26    0    1    1   12 4.80 5.10    0    1     0     0     0
   36    1    0    1   12 4.47 4.65    0    0     1     0     0
    1    1    1    1   10 4.52 4.90    0    1     0     0     0
    2    1    1    1   16 4.37 5.39    0    1     0     0     0
    7    1    0    1    8 4.53 4.95    0    0     0     0     0
    8    0    0    1   12 4.29 4.46    1    0     0     0     0
    2    1    0    1   12 4.44 4.82    1    0     0     0     0
    6    0    1    1   12 4.97 5.68    0    1     0     0     0
    8    0    0    0   12 4.81 4.91    0    1     0     0     0
   19    1    1    1   15 4.79 5.37    0    1     0     0     0
   12    0    1    1   10 4.66 5.06    1    0     0     0     0
    5    1    1    1   12 4.55 5.08    0    0     0     0     0
    7    0    1    1    8 4.48 4.57    0    0     1     0     0
   20    0    1    1   14 4.83 4.97    0    1     0     0     0
   39    0    0    1   12 4.92 5.72    0    0     1     0     0
    6    1    1    1   13 4.57 4.93    0    1     0     0     0
   22    1    1    0   12 4.39 4.75    0    1     0     0     0
    4    1    1    1   10 4.99 5.44    0    0     0     1     0
    9    0    0    1   12 3.92 4.25    1    0     0     0     0
    6    1    1    0   14 5.04 5.53    0    0     1     0     0
   10    0    1    0   15 5.02 5.44    0    1     0     0     0
   39    0    1    1   12 4.92 5.50    0    1     0     0     0
    3    1    1    0   12 4.28 4.54    0    0     1     0     0
   15    1    1    1   13 4.52 5.21    0    1     0     0     0
   19    1    1    0   11 4.46 4.97    0    1     0     0     0
   20    1    0    1   12 4.96 5.51    0    1     0     0     0
   19    1    0    1   12 4.20 4.49    0    1     0     0     0
   24    0    1    1   12 4.74 4.88    0    0     1     0     0
   11    1    0    1   12 4.87 5.50    0    0     1     0     0
   11    1    0    1   16 4.17 4.39    0    1     0     0     0
   39    0    1    1   12 4.99 5.53    0    0     0     0     0
   11    1    0    1   10 4.23 4.49    1    0     0     0     0
    4    1    1    1   12 4.52 5.22    0    0     1     0     0
   31    1    1    0   12 5.00 5.59    0    0     0     0     0
    5    0    1    0   12 4.35 4.95    0    0     1     0     0
   39    0    1    1   14 5.00 5.44    0    0     0     1     0
    1    1    1    1   12 4.52 5.15    0    1     0     0     0
   14    0    1    0   12 4.57 4.99    0    1     0     0     0
   11    0    1    1   12 5.02 5.50    0    0     1     0     0
    6    0    1    1   14 4.44 6.09    0    0     1     0     0
   22    1    0    1   12 4.68 5.04    1    0     0     0     0
   15    1    1    0   10 4.11 4.67    0    0     0     1     0
   10    1    0    1   12 5.04 5.65    0    0     1     0     0
   16    1    1    1    5 4.99 5.50    0    0     0     1     0
   15    1    0    0   10 4.23 4.67    0    1     0     0     0
   26    0    1    0   10 4.38 4.76    0    0     1     0     0
   37    1    1    1   12 4.79 5.55    0    0     0     0     0
    8    0    0    1   12 4.64 4.88    1    0     0     0     0
   10    1    1    1   10 4.37 5.47    0    0     0     0     0
   18    0    0    1   12 5.04 5.14    1    0     0     0     0
    2    1    1    1    0 4.89 5.75    0    0     1     0     0
   17    1    0    0    8 4.88 5.20    0    1     0     0     0
   25    0    1    1   12 4.52 4.89    0    1     0     0     0
    1    1    1    0   17 4.58 4.97    0    0     1     0     0
   10    1    1    1    4 4.31 4.64    0    0     1     0     0
    1    1    0    1    6 4.87 5.20    0    0     0     1     0
   18    1    1    1   12 4.99 5.87    0    0     1     0     0
   11    1    1    1    8 4.68 4.94    0    0     1     0     0
   14    1    1    1   12 4.45 5.14    0    1     0     0     0
   13    1    1    1   12 4.52 4.84    0    1     0     0     0
   10    1    1    1   11 4.49 5.16    0    0     0     0     0
   11    0    0    1   16 4.88 5.08    0    1     0     0     0
   10    1    1    1   12 4.43 5.20    0    1     0     0     0
    6    0    1    1    8 4.53 4.71    0    0     0     1     0
    1    1    0    1   12 4.96 5.18    0    0     1     0     0
    1    1    1    1   12 4.96 5.82    0    0     0     1     0
   28    0    1    1   12 4.29 4.69    0    1     0     0     0
   21    1    1    0   12 4.28 4.74    1    0     0     0     0
   16    1    0    1   16 4.58 5.62    0    1     0     0     0
    2    0    0    1   12 4.72 4.77    0    1     0     0     0
    1    1    1    0   12 4.32 4.61    0    1     0     0     0
   26    0    0    0    2 4.10 4.38    0    0     0     1     0
   21    1    1    0   10 4.69 5.48    0    0     0     1     0
    5    0    1    1   12 4.70 5.28    1    0     0     0     0
    3    1    1    1   15 4.50 4.83    0    1     0     0     0
    6    0    1    0   11 4.35 4.98    0    0     0     1     0
   13    1    1    1    3 4.28 5.18    0    0     1     0     0
   15    1    0    1   12 4.13 4.39    1    0     0     0     0
   11    0    0    1   12 4.12 4.37    1    0     0     0     0
    1    1    1    1    7 4.44 4.54    0    0     0     1     0
   33    0    0    1   13 4.78 4.96    0    1     0     0     0
    2    1    0    1   16 4.44 4.53    0    1     0     0     0
    1    1    1    1    7 4.87 5.63    0    0     0     1     0
    6    0    1    1   11 5.00 5.18    0    0     1     0     0
   39    0    1    1   12 4.93 5.07    0    0     1     0     0
   15    1    1    1   14 4.79 5.14    0    1     0     0     0
    6    1    1    1   16 4.87 5.46    0    1     0     0     0
    6    1    0    1   12 4.03 4.20    0    1     0     0     0
   15    0    1    1   14 4.56 4.69    1    0     0     0     0
    2    1    1    1   12 4.46 4.77    0    0     1     0     0
    2    1    1    0   12 4.52 4.82    0    1     0     0     0
    1    1    1    1   12 4.99 5.86    0    0     1     0     0
   21    1    1    1   12 4.88 5.20    0    1     0     0     0
   30    0    0    0   12 4.54 4.94    0    1     0     0     0
